species_code,scientific_name,common_name,global_pop,us_ca_pop,north_american,prop_americas,americas,americas_pop
easkin,Tyrannus tyrannus,Eastern Kingbird,26000000,26000000,TRUE,1,TRUE,26000000
easmea,Sturnella magna,Eastern Meadowlark,34000000,2900000,FALSE,1,TRUE,34000000
easpho,Sayornis phoebe,Eastern Phoebe,35000000,35000000,TRUE,1,TRUE,35000000
eastow,Pipilo erythrophthalmus,Eastern Towhee,29000000,29000000,TRUE,1,TRUE,29000000
easwpw1,Antrostomus vociferus,Eastern Whip-poor-will,1800000,1800000,TRUE,1,TRUE,1800000
eawpew,Contopus virens,Eastern Wood-Pewee,6500000,6500000,TRUE,1,TRUE,6500000
eleter1,Thalasseus elegans,Elegant Tern,180000,NA,FALSE,1,TRUE,180000
evegro,Coccothraustes vespertinus,Evening Grosbeak,3800000,3800000,TRUE,1,TRUE,3800000
ferhaw,Buteo regalis,Ferruginous Hawk,110000,110000,TRUE,1,TRUE,110000
fiespa,Spizella pusilla,Field Sparrow,9300000,9300000,TRUE,1,TRUE,9300000
forter,Sterna forsteri,Forster's Tern,150000,130000,FALSE,1,TRUE,150000
foxspa,Passerella iliaca,Fox Sparrow,35000000,35000000,TRUE,1,TRUE,35000000
fragul,Leucophaeus pipixcan,Franklin's Gull,2300000,2300000,TRUE,0.9999999990628295,FALSE,2300000
fuwduc,Dendrocygna bicolor,Fulvous Whistling-Duck,1400000,120000,FALSE,0.8398916415881097,FALSE,1200000
gadwal,Mareca strepera,Gadwall,4400000,3400000,FALSE,0.40974433005524413,FALSE,3400000
gbbgul,Larus marinus,Great Black-backed Gull,370000,150000,FALSE,0.643112586482151,FALSE,240000
gchwar,Setophaga chrysoparia,Golden-cheeked Warbler,110000,110000,TRUE,1,TRUE,110000
gcrfin,Leucosticte tephrocotis,Gray-crowned Rosy-Finch,200000,200000,TRUE,1,TRUE,200000
glagul,Larus hyperboreus,Glaucous Gull,970000,170000,FALSE,0.8884236336134972,FALSE,860000
gloibi,Plegadis falcinellus,Glossy Ibis,550000,36000,FALSE,0.04667279997845853,FALSE,36000
glwgul,Larus glaucescens,Glaucous-winged Gull,470000,440000,FALSE,0.9906056438872246,FALSE,470000
gnttow,Pipilo chlorurus,Green-tailed Towhee,4800000,4800000,TRUE,1,TRUE,4800000
gnwtea,Anas crecca,Green-winged Teal,6700000,3900000,FALSE,0.22038315230758138,FALSE,3900000
gockin,Regulus satrapa,Golden-crowned Kinglet,140000000,130000000,FALSE,1,TRUE,140000000
gocspa,Zonotrichia atricapilla,Golden-crowned Sparrow,7500000,7500000,TRUE,1,TRUE,7500000
goleag,Aquila chrysaetos,Golden Eagle,130000,63000,FALSE,0.4111534172953177,FALSE,63000
gowwar,Vermivora chrysoptera,Golden-winged Warbler,390000,390000,TRUE,1,TRUE,390000
graspa,Ammodramus savannarum,Grasshopper Sparrow,34000000,33000000,FALSE,1,TRUE,34000000
grawar,Setophaga graciae,Grace's Warbler,3000000,1500000,FALSE,1,TRUE,3000000
grbher3,Ardea herodias,Great Blue Heron,700000,620000,FALSE,1,TRUE,700000
grcfly,Myiarchus crinitus,Great Crested Flycatcher,8800000,8800000,TRUE,1,TRUE,8800000
grecor,Phalacrocorax carbo,Great Cormorant,1400000,NA,FALSE,0.13317517307203108,FALSE,190000
greegr,Ardea alba,Great Egret,9500000,710000,FALSE,0.5594812253325865,FALSE,5300000
grepew,Contopus pertinax,Greater Pewee,2000000,6400,FALSE,1,TRUE,2000000
gresca,Aythya marila,Greater Scaup,1200000,720000,FALSE,0.47915338101672855,FALSE,720000
greyel,Tringa melanoleuca,Greater Yellowlegs,140000,140000,TRUE,1,TRUE,140000
grnher,Butorides virescens,Green Heron,1200000,770000,FALSE,1,TRUE,1200000
grycat,Dumetella carolinensis,Gray Catbird,29000000,29000000,TRUE,1,TRUE,29000000
gryfly,Empidonax wrightii,Gray Flycatcher,2900000,2900000,TRUE,1,TRUE,2900000
gryhaw2,Buteo plagiatus,Gray Hawk,2000000,2000,FALSE,1,TRUE,2000000
grykin,Tyrannus dominicensis,Gray Kingbird,670000,23000,FALSE,1,TRUE,670000
gryvir,Vireo vicinior,Gray Vireo,560000,550000,FALSE,1,TRUE,560000
gwfgoo,Anser albifrons,Greater White-fronted Goose,5500000,4300000,FALSE,0.3038051406347937,FALSE,4300000
gycthr,Catharus minimus,Gray-cheeked Thrush,46000000,42000000,FALSE,1,TRUE,46000000
hamfly,Empidonax hammondii,Hammond's Flycatcher,20000000,20000000,TRUE,1,TRUE,20000000
harduc,Histrionicus histrionicus,Harlequin Duck,230000,170000,FALSE,0.8031901237968813,FALSE,180000
harspa,Zonotrichia querula,Harris's Sparrow,2000000,2000000,TRUE,1,TRUE,2000000
heegul,Larus heermanni,Heermann's Gull,350000,NA,FALSE,1,TRUE,350000
henspa,Centronyx henslowii,Henslow's Sparrow,410000,410000,TRUE,1,TRUE,410000
heptan,Piranga flava,Hepatic Tanager,7600000,410000,FALSE,1,TRUE,7600000
hergul,Larus argentatus,Herring Gull,3900000,2900000,FALSE,0.49934961059566274,FALSE,2900000
herthr,Catharus guttatus,Hermit Thrush,72000000,72000000,TRUE,1,TRUE,72000000
herwar,Setophaga occidentalis,Hermit Warbler,2500000,2500000,TRUE,1,TRUE,2500000
hoared,Acanthis hornemanni,Hoary Redpoll,28000000,14000000,FALSE,0.9033209914487002,FALSE,25000000
hoomer,Lophodytes cucullatus,Hooded Merganser,1100000,1100000,TRUE,1,TRUE,1100000
hooori,Icterus cucullatus,Hooded Oriole,1700000,350000,FALSE,1,TRUE,1700000
hoowar,Setophaga citrina,Hooded Warbler,5200000,5200000,TRUE,1,TRUE,5200000
horgre,Podiceps auritus,Horned Grebe,620000,250000,FALSE,0.9509176095166176,FALSE,590000
horlar,Eremophila alpestris,Horned Lark,140000000,100000000,FALSE,0.6055169400262941,FALSE,100000000
houwre,Troglodytes aedon,House Wren,190000000,43000000,FALSE,1,TRUE,190000000
hudgod,Limosa haemastica,Hudsonian Godwit,77000,77000,TRUE,1,TRUE,77000
indbun,Passerina cyanea,Indigo Bunting,77000000,77000000,TRUE,1,TRUE,77000000
kenwar,Geothlypis formosa,Kentucky Warbler,2600000,2600000,TRUE,1,TRUE,2600000
killde,Charadrius vociferus,Killdeer,2300000,1800000,FALSE,1,TRUE,2300000
kineid,Somateria spectabilis,King Eider,830000,600000,FALSE,0.9868647213449642,FALSE,820000
kinrai4,Rallus elegans,King Rail,69000,63000,FALSE,1,TRUE,69000
laplon,Calcarius lapponicus,Lapland Longspur,140000000,68000000,FALSE,0.8915161701282734,FALSE,120000000
larbun,Calamospiza melanocorys,Lark Bunting,12000000,12000000,TRUE,1,TRUE,12000000
larspa,Chondestes grammacus,Lark Sparrow,11000000,11000000,TRUE,1,TRUE,11000000
lawgol,Spinus lawrencei,Lawrence's Goldfinch,380000,350000,FALSE,1,TRUE,380000
lazbun,Passerina amoena,Lazuli Bunting,6500000,6500000,TRUE,1,TRUE,6500000
lbbgul,Larus fuscus,Lesser Black-backed Gull,1000000,NA,FALSE,0.015778578517021715,FALSE,16000
leabit,Ixobrychus exilis,Least Bittern,310000,130000,FALSE,1,TRUE,310000
leafly,Empidonax minimus,Least Flycatcher,27000000,27000000,TRUE,1,TRUE,27000000
leasan,Calidris minutilla,Least Sandpiper,700000,700000,TRUE,0.9999999999999999,FALSE,700000
leater1,Sternula antillarum,Least Tern,120000,52000,FALSE,1,TRUE,120000
lecspa,Ammospiza leconteii,LeConte's Sparrow,5100000,5100000,TRUE,1,TRUE,5100000
lesgol,Spinus psaltria,Lesser Goldfinch,15000000,5700000,FALSE,1,TRUE,15000000
lesnig,Chordeiles acutipennis,Lesser Nighthawk,14000000,3800000,FALSE,1,TRUE,14000000
